id,name,category,price,stock,supplier
1,Gourmet Cleaner,Household,3093.59,13,Household Solutions Inc.
2,Organic Cream,Dairy,2539.25,188,Dairy Solutions Inc.
3,Pure Spinach,Produce,819.58,7,Produce Solutions Inc.
4,Premium Detergent,Household,78.05,93,Household Solutions Inc.
5,Golden Soap,Household,3903.48,101,Household Solutions Inc.
6,Premium Ice Cream,Frozen Foods,4358.39,91,Frozen Foods Solutions Inc.
7,Instant Iced Tea,Beverages,44.37,51,Beverages Solutions Inc.
8,Fresh Rice,Grains,1214.66,13,Grains Solutions Inc.
9,Organic Bagel,Bakery,3708.69,155,Bakery Solutions Inc.
10,Sweet Cookies,Snacks,707.76,2,Snacks Solutions Inc.
11,Spicy Berries,Frozen Foods,4014.44,79,Frozen Foods Solutions Inc.
12,Instant Tablet,Electronics,4496.85,35,Electronics Solutions Inc.
13,Premium Pretzels,Snacks,1520.08,79,Snacks Solutions Inc.
14,Organic Iced Tea,Beverages,2068.52,67,Beverages Solutions Inc.
15,Instant Pie,Bakery,3833.2,67,Bakery Solutions Inc.
16,Organic Water,Beverages,4593.69,124,Beverages Solutions Inc.
17,Instant Water,Beverages,3762.73,185,Beverages Solutions Inc.
18,Classic Grapes,Produce,3001.96,124,Produce Solutions Inc.
19,Instant Cereal,Grains,3389.52,40,Grains Solutions Inc.
20,Gourmet Coffee,Beverages,3039.97,122,Beverages Solutions Inc.
21,Pure Camera,Electronics,2847.61,38,Electronics Solutions Inc.
22,Classic Shaving Cream,Personal Care,558.69,158,Personal Care Solutions Inc.
23,Instant Nuts,Snacks,4543.33,70,Snacks Solutions Inc.
24,Gourmet Watch,Electronics,825.8,41,Electronics Solutions Inc.
25,Organic Rice,Grains,20.93,162,Grains Solutions Inc.
26,Sweet Flour,Grains,2644.87,26,Grains Solutions Inc.
27,Premium Paper Towel,Household,912.01,133,Household Solutions Inc.
28,Golden Tomatoes,Produce,4339.05,176,Produce Solutions Inc.
29,Sweet Yogurt,Dairy,2113.48,64,Dairy Solutions Inc.
30,Golden Bagel,Bakery,4167.24,37,Bakery Solutions Inc.
31,Pure Waffles,Frozen Foods,2000.71,66,Frozen Foods Solutions Inc.
32,Sweet Sponge,Household,1299.88,199,Household Solutions Inc.
33,Pure Soap,Household,3845.01,118,Household Solutions Inc.
34,Fresh Pizza,Frozen Foods,408.42,142,Frozen Foods Solutions Inc.
35,Gourmet Lemonade,Beverages,3929.13,75,Beverages Solutions Inc.
36,Golden Vegetables,Frozen Foods,3025.33,86,Frozen Foods Solutions Inc.
37,Pure Cake,Bakery,226.91,25,Bakery Solutions Inc.
38,Spicy Soap,Household,3816.2,152,Household Solutions Inc.
39,Gourmet Smoothie,Beverages,2985.31,74,Beverages Solutions Inc.
40,Instant Strawberries,Produce,1692.82,82,Produce Solutions Inc.
41,Instant Shampoo,Personal Care,3685.09,86,Personal Care Solutions Inc.
42,Pure Butter,Dairy,2174.15,51,Dairy Solutions Inc.
43,Organic Soda,Beverages,790.9,188,Beverages Solutions Inc.
44,Golden Nuts,Snacks,2996.97,38,Snacks Solutions Inc.
45,Gourmet Chicken Nuggets,Frozen Foods,2652.86,20,Frozen Foods Solutions Inc.
46,Golden Dumplings,Frozen Foods,2055.56,62,Frozen Foods Solutions Inc.
47,Classic Water,Beverages,3839.16,189,Beverages Solutions Inc.
48,Instant Chicken Nuggets,Frozen Foods,753.45,139,Frozen Foods Solutions Inc.
49,Sweet Soda,Beverages,872.61,29,Beverages Solutions Inc.
50,Golden Smartphone,Electronics,3866.09,70,Electronics Solutions Inc.
51,Gourmet Keyboard,Electronics,2172.87,60,Electronics Solutions Inc.
52,Golden Beans,Grains,4706.21,173,Grains Solutions Inc.
53,Fresh Sour Cream,Dairy,1627.11,112,Dairy Solutions Inc.
54,Gourmet Shampoo,Personal Care,104.69,180,Personal Care Solutions Inc.
55,Instant Headphones,Electronics,4639.74,143,Electronics Solutions Inc.
56,Fresh Trash Bags,Household,4228.22,28,Household Solutions Inc.
57,Sweet Chocolate,Snacks,1194.7,96,Snacks Solutions Inc.
58,Gourmet Butter,Dairy,652.12,137,Dairy Solutions Inc.
59,Premium Croissant,Bakery,4999.23,93,Bakery Solutions Inc.
60,Instant Watch,Electronics,3271.0,89,Electronics Solutions Inc.
