name,category,stock,price,supplier
Home & Kitchen Eco Product 28,Home & Kitchen,413,171.23,StyleInc
Home & Kitchen Elite Gadget 21,Home & Kitchen,413,130.36,FitGear
Clothing Super Accessory 11,Clothing,192,166.04,StyleInc
Clothing Super Accessory 63,Clothing,381,142.12,FitGear
Grocery Smart Widget 31,Grocery,278,158.17,FitGear
Electronics Basic Kit 82,Electronics,300,74.22,StyleInc
Clothing Basic Pack 55,Clothing,101,297.29,TechCorp
Clothing Basic Kit 18,Clothing,130,244.5,StyleInc
Electronics Classic Gadget 90,Electronics,273,194.79,FitGear
Sports Pro Accessory 75,Sports,475,484.5,FreshFarms
Clothing Elite Accessory 33,Clothing,377,477.37,HomeGoods LLC
Grocery Super Kit 56,Grocery,458,345.06,FreshFarms
Clothing Ultra Pack 20,Clothing,275,111.92,TechCorp
Sports Max Gadget 95,Sports,128,413.97,HomeGoods LLC
Electronics Basic Device 23,Electronics,353,301.48,HomeGoods LLC
Grocery Ultra Product 98,Grocery,402,179.65,HomeGoods LLC
Home & Kitchen Pro Widget 61,Home & Kitchen,443,53.22,TechCorp
Electronics Super Item 69,Electronics,489,276.09,FreshFarms
Home & Kitchen Eco Bundle 92,Home & Kitchen,376,242.23,StyleInc
Grocery Classic Tool 26,Grocery,360,16.3,TechCorp
Grocery Smart Bundle 40,Grocery,147,422.94,HomeGoods LLC
Sports Eco Device 51,Sports,389,450.67,FreshFarms
Home & Kitchen Classic Kit 86,Home & Kitchen,390,270.75,FitGear
Grocery Elite Accessory 22,Grocery,464,89.25,TechCorp
Electronics Ultra Kit 51,Electronics,86,75.37,StyleInc
Grocery Basic Device 65,Grocery,427,39.85,HomeGoods LLC
Electronics Max Pack 93,Electronics,210,483.99,FreshFarms
Electronics Basic Device 65,Electronics,219,206.76,StyleInc
Sports Eco Product 64,Sports,122,371.49,FitGear
Electronics Basic Accessory 40,Electronics,17,97.56,FitGear
Grocery Eco Gadget 76,Grocery,49,88.88,StyleInc
Sports Elite Device 52,Sports,306,361.59,HomeGoods LLC
Clothing Eco Product 21,Clothing,468,39.91,FreshFarms
Sports Classic Product 60,Sports,367,289.68,FitGear
Grocery Eco Kit 68,Grocery,227,298.93,FreshFarms
Clothing Max Kit 59,Clothing,68,358.19,FreshFarms
Sports Basic Item 52,Sports,146,312.71,FreshFarms
Home & Kitchen Ultra Accessory 55,Home & Kitchen,233,240.86,TechCorp
Home & Kitchen Premium Accessory 73,Home & Kitchen,137,216.72,TechCorp
Grocery Super Device 45,Grocery,20,87.92,HomeGoods LLC
Clothing Pro Gadget 21,Clothing,251,443.42,FreshFarms
